vaccine_pipeline_trials,,,,,,,,
═══ CANCER VACCINE PIPELINE — VERIFIED TRIALS ═══,,,,,,,,
Generated: 2026-08-23 | Source: ClinicalTrials.gov via Beast trials.sqlite,,ClinicalTrials.gov via Jori (www.jori.health) ,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
NCT_ID,Company,Trial_Title,Phase,Vaccine_Product,Cancer_Type,Status,Start_Date,Verification_Notes
NCT04713514,Merck,Randomized Phase II Study Comparing Neo-epitope Based Vaccine OSE2101 (TEDOPI®) With or Without Anti-PD1 (Pembrolizumab) Versus Best Supportive Care as Maintenance Treatment in Platinum-sensitive Recurrent Ovarian Cancer Patient With Controlled Disease After Platinum-based Chemotherapy,Phase 2,Tedopi / OSE2101 (multi-neoepitope peptide),ovarian,"Active, not recruiting",2021-08-05,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT06307431,Merck,"A Phase 2, Randomized, Double-blind, Clinical Study of V940 (mRNA-4157) Plus Pembrolizumab (MK-3475) Versus Placebo Plus Pembrolizumab in the Adjuvant Treatment of Participants With Renal Cell Carcinoma (INTerpath-004).",Phase 2,V940 / mRNA-4157 (intismeran autogene),renal,"Active, not recruiting",2024-04-10,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT06961006,Merck,"A Phase 2, Randomized, Double-Blind, Placebo- and Active-Comparator-Controlled Clinical Study of V940 (mRNA-4157) Plus Pembrolizumab Versus Placebo Plus Pembrolizumab in Participants With First-Line Advanced Melanoma (INTerpath-012)",Phase 2,V940 / mRNA-4157 (intismeran autogene),melanoma,Recruiting,2025-05-29,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT07221474,Merck,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled Study of V940 in Combination With Pembrolizumab and Chemotherapy as First-Line Treatment for Participants With Metastatic Squamous NSCLC (INTerpath-013)",Phase 2,V940 / mRNA-4157 (intismeran autogene),lung,Recruiting,2025-12-12,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT05933577,Merck,"A Phase 3, Randomized, Double-Blind, Placebo- and Active-Comparator-Controlled Clinical Study of Adjuvant V940 (mRNA-4157) Plus Pembrolizumab Versus Adjuvant Placebo Plus Pembrolizumab in Participants With High-Risk Stage II-IV Melanoma (INTerpath-001)",Phase 3,V940 / mRNA-4157 (intismeran autogene),melanoma,"Active, not recruiting",2023-07-19,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT06077760,Merck,"A Phase 3, Randomized, Double-blind, Placebo- and Active-Comparator-Controlled Clinical Study of Adjuvant V940 (mRNA-4157) Plus Pembrolizumab Versus Adjuvant Placebo Plus Pembrolizumab in Participants With Resected Stage II, IIIA, IIIB (N2) Non-small Cell Lung Cancer (INTerpath-002)",Phase 3,V940 / mRNA-4157 (intismeran autogene),lung,Recruiting,2023-12-06,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT06623422,Merck,A Phase 3 Randomized Double-blind Study of Adjuvant Pembrolizumab With or Without V940 in Participants With Resectable Stage II to IIIB (N2) NSCLC Not Achieving pCR After Receiving Neoadjuvant Pembrolizumab With Platinum-based Doublet Chemotherapy (INTerpath-009),Phase 3,V940 / mRNA-4157 (intismeran autogene),lung,Recruiting,2024-10-21,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT06946225,Moderna,"A First-in-human, Open-label Trial to Evaluate the Combination of ACTengine® IMA203 With mRNA-4203 in Previously Treated, Unresectable or Metastatic Cutaneous Melanoma or Synovial Sarcoma Patients (ACTengine® IMA203-102)",Phase 1,mRNA-4203 (Moderna mRNA vaccine),melanoma,Recruiting,2025-07-25,mRNA vaccine platform owner; V940/intismeran autogene co-developed with Merck
NCT06305767,Moderna,A Phase 1/2 Study of V940 Plus Pembrolizumab With or Without Enfortumab Vedotin in Muscle-Invasive Urothelial Carcinoma (MIUC) (INTerpath-005),Phase 1/2,V940 / mRNA-4157 (intismeran autogene),hepatocellular,"Active, not recruiting",2024-03-28,mRNA vaccine platform owner; V940/intismeran autogene co-developed with Merck
NCT03897881,Moderna,A Phase 2 Randomized Study of Adjuvant Immunotherapy With the Personalized Cancer Vaccine mRNA-4157 and Pembrolizumab Versus Pembrolizumab Alone After Complete Resection of High-Risk Melanoma (KEYNOTE- 942),Phase 2,V940 / mRNA-4157 (intismeran autogene),melanoma,"Active, not recruiting",2019-07-18,mRNA vaccine platform owner; V940/intismeran autogene co-developed with Merck
NCT06307431,Moderna,"A Phase 2, Randomized, Double-blind, Clinical Study of V940 (mRNA-4157) Plus Pembrolizumab (MK-3475) Versus Placebo Plus Pembrolizumab in the Adjuvant Treatment of Participants With Renal Cell Carcinoma (INTerpath-004).",Phase 2,V940 / mRNA-4157 (intismeran autogene),renal,"Active, not recruiting",2024-04-10,mRNA vaccine platform owner; V940/intismeran autogene co-developed with Merck
NCT07221474,Moderna,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled Study of V940 in Combination With Pembrolizumab and Chemotherapy as First-Line Treatment for Participants With Metastatic Squamous NSCLC (INTerpath-013)",Phase 2,V940 / mRNA-4157 (intismeran autogene),lung,Recruiting,2025-12-12,mRNA vaccine platform owner; V940/intismeran autogene co-developed with Merck
NCT05933577,Moderna,"A Phase 3, Randomized, Double-Blind, Placebo- and Active-Comparator-Controlled Clinical Study of Adjuvant V940 (mRNA-4157) Plus Pembrolizumab Versus Adjuvant Placebo Plus Pembrolizumab in Participants With High-Risk Stage II-IV Melanoma (INTerpath-001)",Phase 3,V940 / mRNA-4157 (intismeran autogene),melanoma,"Active, not recruiting",2023-07-19,mRNA vaccine platform owner; V940/intismeran autogene co-developed with Merck
NCT06077760,Moderna,"A Phase 3, Randomized, Double-blind, Placebo- and Active-Comparator-Controlled Clinical Study of Adjuvant V940 (mRNA-4157) Plus Pembrolizumab Versus Adjuvant Placebo Plus Pembrolizumab in Participants With Resected Stage II, IIIA, IIIB (N2) Non-small Cell Lung Cancer (INTerpath-002)",Phase 3,V940 / mRNA-4157 (intismeran autogene),lung,Recruiting,2023-12-06,mRNA vaccine platform owner; V940/intismeran autogene co-developed with Merck
NCT06623422,Moderna,A Phase 3 Randomized Double-blind Study of Adjuvant Pembrolizumab With or Without V940 in Participants With Resectable Stage II to IIIB (N2) NSCLC Not Achieving pCR After Receiving Neoadjuvant Pembrolizumab With Platinum-based Doublet Chemotherapy (INTerpath-009),Phase 3,V940 / mRNA-4157 (intismeran autogene),lung,Recruiting,2024-10-21,mRNA vaccine platform owner; V940/intismeran autogene co-developed with Merck
NCT06631092,NEC,"An Open-label, Phase I/II Multicenter Clinical Trial of NECVAX-NEO1 as add-on to First-line Neoadjuvant Anti-PD-1 Monoclonal Antibody Therapy in Patients With Triple-negative Breast Cancer",Phase 1/2,NECVAX-NEO1 (oral DNA neoantigen vaccine),breast,Recruiting,2024-11-20,AI-driven neoantigen prediction; NECVAX-NEO1 oral DNA vaccine
NCT04041310,Nouscom,"A Phase I/II, Multicenter, Open-Label Study of Nous-209 Genetic Vaccine for the Treatment of Microsatellite Unstable Solid Tumors",Phase 1/2,NOUS-209 (frameshift neoantigen vaccine),gastric,"Active, not recruiting",2019-10-21,NOUS-209 frameshift neoantigen vaccine for MSI-H tumors
NCT03562637,OBI Pharma,"The GLORIA Study: A Phase 3, Randomized, Open-Label Study of the Anti-Globo H Vaccine Adagloxad Simolenin (OBI-822)/OBI-821 in the Adjuvant Treatment of Patients With High Risk, Early Stage Globo H-Positive Triple Negative Breast Cancer",Phase 3,Adagloxad simolenin / OBI-822 (Globo H),breast,"Active, not recruiting",2018-12-05,Adagloxad simolenin (OBI-822) Globo H carbohydrate vaccine developer
NCT04713514,OSE Immuno.,Randomized Phase II Study Comparing Neo-epitope Based Vaccine OSE2101 (TEDOPI®) With or Without Anti-PD1 (Pembrolizumab) Versus Best Supportive Care as Maintenance Treatment in Platinum-sensitive Recurrent Ovarian Cancer Patient With Controlled Disease After Platinum-based Chemotherapy,Phase 2,Tedopi / OSE2101 (multi-neoepitope peptide),ovarian,"Active, not recruiting",2021-08-05,Tedopi/OSE2101 multi-neoepitope peptide vaccine developer
NCT06472245,OSE Immuno.,"A Randomised, Open-label, Phase 3 Trial Comparing the Efficacy and Safety of OSE2101 Versus Docetaxel in HLA-A2 Positive Patients With Metastatic Non-Small Cell Lung Cancer (NSCLC) With Secondary Resistance to Immune Checkpoint Inhibitor",Phase 3,Tedopi / OSE2101 (multi-neoepitope peptide),lung,Recruiting,2024-12-03,Tedopi/OSE2101 multi-neoepitope peptide vaccine developer
NCT03970746,PDC*line,"An Open-label, Dose-escalation, Phase I/II Study to Assess the Safety, the Tolerability, the Immunogenicity and the Preliminary Clinical Activity of the Therapeutic Cancer Vaccine, PDC*lung01, Associated or Not With Anti-PD-1 Treatment in Patients With Non-small-cell Lung Cancer (NSCLC)",Phase 1/2,PDC*lung01 (plasmacytoid DC vaccine),lung,"Active, not recruiting",2019-09-10,Plasmacytoid dendritic cell vaccine platform; PDC*lung01
NCT06799026,Pfizer,A Phase 1 Study of Vaccination With Dendritic Cell (DC)/Multiple Myeloma (MM) Fusions in Combination With Elranatamab in Relapsed or Refractory Multiple Myeloma,Phase 1,DC/MM fusion vaccine (dendritic cell vaccine),colorectal,Recruiting,2025-01-31,DC/myeloma fusion vaccine sponsor (with elranatamab backbone)
NCT04161755,Roche / Genentech,Phase 1 Clinical Trial of Personalized Neoantigen Tumor Vaccines and Programmed Death-Ligand 1 (PD-L1) Blockade in Patients With Surgically Resected Pancreatic Cancer,Phase 1,RO7198457 (individualized neoantigen mRNA vaccine),pancreatic,"Active, not recruiting",2019-12-13,Co-develops autogene cevumeran with BioNTech; sponsors atezolizumab combo vaccine trials
NCT05243862,Roche / Genentech,Phase II Study of PolyPEPI1018 Vaccine in Combination with Atezolizumab in Participants with Relapsed or Refractory Microsatellite-stable Metastatic Colorectal Cancer.,Phase 2,PolyPEPI1018 (off-the-shelf peptide vaccine),colorectal,"Active, not recruiting",2022-06-02,Co-develops autogene cevumeran with BioNTech; sponsors atezolizumab combo vaccine trials
NCT05968326,Roche / Genentech,"A Phase II, Open-Label, Multicenter, Randomized Study of the Efficacy and Safety of Adjuvant Autogene Cevumeran Plus Atezolizumab and mFOLFIRINOX Versus mFOLFIRINOX Alone in Patients With Resected Pancreatic Ductal Adenocarcinoma",Phase 2,BNT122 / autogene cevumeran,pancreatic,Recruiting,2023-10-18,Co-develops autogene cevumeran with BioNTech; sponsors atezolizumab combo vaccine trials
NCT05329532,Scancell,"A Phase 1/2, Multicentre, Open-Label Study of Modi-1 Moditope in Patients With Breast, Head and Neck, Ovarian, or Renal Cancer",Phase 1/2,Modi-1 (citrullinated epitope DNA vaccine),breast,Recruiting,2022-04-07,DNA vaccine platform: Modi-1 (citrullinated epitope) + SCIB1 ImmunoBody
NCT04079166,Scancell,"A Phase 2, Multicentre, Open-Label, Umbrella Study of SCIB1 and iSCIB1+ in Patients With Advanced Unresectable Melanoma Receiving Nivolumab With Ipilimumab or SCIB1 With Pembrolizumab (The SCOPE Study)",Phase 2,SCIB1 ImmunoBody (DNA vaccine),melanoma,"Active, not recruiting",2019-08-19,DNA vaccine platform: Modi-1 (citrullinated epitope) + SCIB1 ImmunoBody
NCT04300244,Ultimovacs,Nivolumab and Ipilimumab +/- UV1 Vaccination as Second Line Treatment in Patients With Malignant Mesothelioma (the NIPU-study),Phase 2,UV1 (hTERT peptide vaccine),lung,"Active, not recruiting",2020-05-04,UV1 hTERT universal cancer peptide vaccine developer
,,,,,,,,
Portfolios that we do not feel belong on this list,,,,,,,,
AstraZeneca,Checkpoint-only collaborator (durvalumab); no proprietary cancer vaccine program per pipeline disclosures and SEC filings,,,,,,,
Bristol-Myers Squibb,"Checkpoint backbone provider (nivolumab/ipilimumab); 7 trials are academic-led vaccine studies using BMS checkpoint drugs, not BMS-owned vaccines",,,,,,,
Iovance,TIL/cell therapy company; no cancer vaccine program (tumor-infiltrating lymphocyte therapy is not a vaccine),,,,,,,
Nuvation,No proprietary cancer vaccine program identified in pipeline,,,,,,,
Regeneron,Checkpoint collaborator (cemiplimab); no proprietary cancer vaccine program,,,,,,,
